,virus,ID,accession,country,city,date
1002,EBOV,G4251.1,KR105223,SLE,Kailahun,2014-07-11
1003,EBOV,G4252.1,KR105224,SLE,Kailahun,2014-07-11
1004,EBOV,G4254.1,KR105225,SLE,Kailahun,2014-07-11
1005,EBOV,G4255.1,KR105226,SLE,Kailahun,2014-07-11
1006,EBOV,G4263.1,KR105227,SLE,Kenema,2014-07-11
1007,EBOV,G4264.1,KR105228,SLE,Kenema,2014-07-11
1008,EBOV,G4299.1,KR105229,SLE,Kailahun,2014-07-12
1009,EBOV,G4312.2,KR105230,SLE,PortLoko,2014-07-12
1010,EBOV,G4316.1,KR105231,SLE,Kenema,2014-07-13
1011,EBOV,G4323.2,KR105232,SLE,Kenema,2014-07-14
1012,EBOV,G4324.1,KR105233,SLE,Kenema,2014-07-14
1013,EBOV,G4325.1,KR105234,SLE,Kenema,2014-07-14
1014,EBOV,G4329.1,KR105235,SLE,Kailahun,2014-07-14
1015,EBOV,G4333.1,KR105236,SLE,Kailahun,2014-07-13
1016,EBOV,G4334.1,KR105237,SLE,Kenema,2014-07-14
1017,EBOV,G4337.1,KR105238,SLE,Kailahun,2014-07-14
1018,EBOV,G4345.1,KR105239,SLE,Kenema,2014-07-18
1019,EBOV,G4347.1,KR105240,SLE,Kenema,2014-07-15
1020,EBOV,G4348.1,KR105241,SLE,Kenema,2014-07-09
1021,EBOV,G4350.1,KR105242,SLE,Kenema,2014-07-14
1022,EBOV,G4380.1,KR105243,SLE,Kenema,2014-07-15
1023,EBOV,G4382.1,KR105244,SLE,Kenema,2014-07-16
1024,EBOV,G4389.1,KR105245,SLE,Kenema,2014-07-16
1025,EBOV,G4406.1,KR105246,SLE,Kono,2014-07-18
1026,EBOV,G4415.1,KR105247,SLE,Kenema,2014-07-18
1027,EBOV,G4416.1,KR105248,SLE,Bo,2014-07-18
1028,EBOV,G4419.1,KR105249,SLE,Kenema,2014-07-19
1029,EBOV,G4422.1,KR105250,SLE,Kenema,2014-07-19
1030,EBOV,G4423.1,KR105251,SLE,Kailahun,2014-07-19
1031,EBOV,G4424.1,KR105252,SLE,Kailahun,2014-07-19
1032,EBOV,G4431.1,KR105253,SLE,Bo,2014-07-20
1033,EBOV,G4433.1,KR105254,SLE,Kailahun,2014-07-20
1034,EBOV,G4437.1,KR105255,SLE,Kenema,2014-07-20
1035,EBOV,G4445.1,KR105256,SLE,Kenema,2014-07-21
1036,EBOV,G4450.1,KR105257,SLE,Kenema,2014-07-21
1037,EBOV,G4454.1,KR105258,SLE,Kailahun,2014-07-21
1038,EBOV,G4465.1,KR105259,SLE,Kenema,2014-08-05
1039,EBOV,G4466.1,KR105260,SLE,Bo,2014-07-22
1040,EBOV,G4527.2,KR105261,SLE,Kenema,2014-07-26
1041,EBOV,G4683.1,KR105262,SLE,?,2014-08-01
1042,EBOV,G4698.1,KR105263,SLE,Kenema,2014-08-03
1043,EBOV,G4701.1,KR105264,SLE,Kenema,2014-08-03
1044,EBOV,G4702.1,KR105265,SLE,Kenema,2014-08-03
1045,EBOV,G4717.1,KR105266,SLE,Kenema,2014-08-04
1046,EBOV,G4725.1,KR105267,SLE,Moyamba,2014-08-04
1047,EBOV,G4730.1,KR105268,SLE,Kenema,2014-08-05
1048,EBOV,G4736.1,KR105269,SLE,Kenema,2014-08-05
1049,EBOV,G4748.1,KR105270,SLE,?,2014-08-05
1050,EBOV,G4751.1,KR105271,SLE,?,2014-08-05
1051,EBOV,G4837.1,KR105272,SLE,Kenema,2014-08-09
1052,EBOV,G4856.1,KR105273,SLE,Kenema,2014-08-10
1053,EBOV,G4861.1,KR105274,SLE,?,2014-08-10
1054,EBOV,G4868.1,KR105275,SLE,?,2014-08-10
1055,EBOV,G4886.1,KR105276,SLE,Kenema,2014-08-11
1056,EBOV,G4907.1,KR105277,SLE,Kenema,2014-08-12
1057,EBOV,G4937.1,KR105278,SLE,Kenema,2014-08-13
1058,EBOV,G4942.1,KR105279,SLE,Moyamba,2014-08-12
1059,EBOV,G4946.1,KR105280,SLE,Kenema,2014-08-13
1060,EBOV,G4955.1,KR105281,SLE,?,2014-08-13
1061,EBOV,G4956.1,KR105282,SLE,Tonkolili,2014-08-13
1062,EBOV,G4960.1,KR105283,SLE,Kenema,2014-08-14
1063,EBOV,G4971.1,KR105284,SLE,Kenema,2014-08-14
1064,EBOV,G4972.1,KR105285,SLE,Kenema,2014-08-14
1065,EBOV,G4973.1,KR105286,SLE,?,2014-08-12
1066,EBOV,G4981.1,KR105287,SLE,?,2014-08-14
1067,EBOV,G4982.1,KR105288,SLE,?,2014-08-14
1068,EBOV,G4994.1,KR105289,SLE,?,2014-08-15
1069,EBOV,G4996.1,KR105290,SLE,?,2014-08-15
1070,EBOV,G4999.1,KR105291,SLE,Kenema,2014-08-15
1071,EBOV,G5012.3,KR105292,SLE,WesternArea,2014-08-15
1072,EBOV,G5016.1,KR105293,SLE,Kenema,2014-08-16
1073,EBOV,G5019.1,KR105294,SLE,Kenema,2014-08-16
1074,EBOV,G5039.1,KR105295,SLE,Kenema,2014-08-17
1075,EBOV,G5059.1,KR105296,SLE,Kenema,2014-08-18
1076,EBOV,G5064.1,KR105297,SLE,Moyamba,2014-08-17
1077,EBOV,G5112.1,KR105298,SLE,Kenema,2014-08-19
1078,EBOV,G5114.1,KR105299,SLE,Pujehun,2014-08-18
1079,EBOV,G5119.1,KR105300,SLE,Kenema,2014-08-24
1080,EBOV,G5244.1,KR105301,SLE,?,2014-08-22
1081,EBOV,G5295.1,KR105302,SLE,?,2014-08-25
1082,EBOV,G5296.1,KR105303,SLE,?,2014-08-25
1083,EBOV,G5304.1,KR105304,SLE,?,2014-08-28
1084,EBOV,G5364.1,KR105305,SLE,?,2014-08-28
1085,EBOV,G5370.1,KR105306,SLE,Kenema,2014-08-28
1086,EBOV,G5516.1,KR105307,SLE,Moyamba,2014-09-04
1087,EBOV,G5520.1,KR105308,SLE,Kenema,2014-09-05
1088,EBOV,G5529.1,KR105309,SLE,Kono,2014-09-05
1089,EBOV,G5570.1,KR105310,SLE,Kenema,2014-09-08
1090,EBOV,G5571.1,KR105311,SLE,Kenema,2014-09-08
1091,EBOV,G5617.1,KR105312,SLE,Kenema,2014-09-10
1092,EBOV,G5640.1,KR105313,SLE,?,2014-09-11
1093,EBOV,G5644.1,KR105314,SLE,?,2014-09-11
1094,EBOV,G5647.1,KR105315,SLE,?,2014-09-11
1095,EBOV,G5684.1,KR105316,SLE,Kenema,2014-09-13
1096,EBOV,G5685.1,KR105317,SLE,Kenema,2014-09-13
1097,EBOV,G5691.1,KR105318,SLE,Kenema,2014-09-14
1098,EBOV,G5723.1,KR105319,SLE,Bonthe,2014-09-15
1099,EBOV,G5731.1,KR105320,SLE,Moyamba,2014-09-16
1100,EBOV,G5737.1,KR105321,SLE,Moyamba,2014-09-16
1101,EBOV,G5738.1,KR105322,SLE,Moyamba,2014-09-15
1102,EBOV,G5743.1,KR105323,SLE,Kono,2014-09-17
1103,EBOV,G5756.1,KR105324,SLE,?,2014-09-18
1104,EBOV,G5763.1,KR105325,SLE,Moyamba,2014-09-16
1105,EBOV,G5765.1,KR105326,SLE,Moyamba,2014-09-16
1106,EBOV,G5767.1,KR105327,SLE,?,2014-09-16
1107,EBOV,G5844.1,KR105328,SLE,Moyamba,2014-09-21
1108,EBOV,G5853.1,KR105329,SLE,Moyamba,2014-09-21
1109,EBOV,G5879.1,KR105330,SLE,Pujehun,2014-09-22
1110,EBOV,G5898.1,KR105331,SLE,Bo,2014-09-22
1111,EBOV,G5982.1,KR105332,SLE,?,2014-09-25
1112,EBOV,G5983.1,KR105333,SLE,?,2014-09-25
1113,EBOV,G5985.1,KR105334,SLE,?,2014-09-25
1114,EBOV,G5986.1,KR105335,SLE,?,2014-09-25
1115,EBOV,G5988.1,KR105336,SLE,?,2014-09-25
1116,EBOV,G5996.1,KR105337,SLE,?,2014-09-25
1117,EBOV,G5997.1,KR105338,SLE,?,2014-09-25
1118,EBOV,G5998.1,KR105339,SLE,?,2014-09-25
1119,EBOV,G6012.1,KR105340,SLE,?,2014-09-25
1120,EBOV,G6020.1,KR105341,SLE,?,2014-09-25
1121,EBOV,G6060.1,KR105342,SLE,Pujehun,2014-09-25
1122,EBOV,G6062.1,KR105343,SLE,Pujehun,2014-09-25
1123,EBOV,G6069.1,KR105344,SLE,Kambia,2014-09-25
1124,EBOV,G6089.1,KR105345,SLE,Tonkolili,2014-09-27
1125,EBOV,G6091.1,KR105346,SLE,Tonkolili,2014-09-27
